Code,Date,Open,High,Low,Close,Volume
ABC003500379,21/06/00,3928.98,3981.26,3867.92,3970.00,15419000
ABC003500379,22/06/00,3968.85,3968.85,3804.00,3804.11,16395400
ABC003500379,23/06/00,3809.40,3821.95,3669.40,3685.30,13449600
ABC003500379,26/06/00,3685.30,3840.54,3685.30,3771.45,13169600
ABC003500379,27/06/00,3771.45,3804.94,3698.50,3699.00,14760200
ABC003500379,28/06/00,3701.11,3817.50,3701.11,3771.06,16601300
ABC003500379,29/06/00,3764.83,3764.83,3634.03,3665.83,15509900
ABC003500379,30/06/00,3666.18,3764.96,3666.18,3763.79,20663900
ABC003500379,03/07/00,3763.79,3811.59,3744.63,3804.78,6008100
ABC003500379,05/07/00,3804.96,3804.96,3646.46,3649.80,13426000
ABC003500379,06/07/00,3648.13,3793.90,3610.27,3793.48,14824800
ABC003500379,07/07/00,3793.01,3884.84,3781.56,3841.27,14864800
ABC003500379,10/07/00,3841.51,3841.51,3767.56,3772.20,13959500
ABC003500379,11/07/00,3772.61,3835.02,3720.02,3744.53,17145000
ABC003500379,12/07/00,3810.36,3909.41,3792.98,3901.12,17759800
ABC003500379,13/07/00,3901.12,3991.87,3900.23,3956.67,18815600
ABC003500379,14/07/00,3962.82,4051.90,3962.68,4041.15,16786100
ABC003500379,17/07/00,4041.15,4089.04,4007.62,4061.88,15845000
ABC003500379,18/07/00,4060.31,4060.31,3949.85,3960.96,15019700
ABC003500379,19/07/00,3960.96,3960.96,3835.12,3843.98,14453100
ABC003500379,20/07/00,3843.98,3999.06,3843.98,3995.46,17198800
ABC003500379,21/07/00,3992.83,3992.83,3892.25,3908.75,15459400
ABC003500379,24/07/00,3908.75,3966.83,3787.29,3790.62,14606900
ABC003500379,25/07/00,3790.62,3871.64,3762.00,3865.39,14710000
ABC003500379,26/07/00,3865.33,3865.33,3741.84,3818.31,17547600
ABC003500379,27/07/00,3816.49,3816.49,3680.78,3681.63,17911000
ABC003500379,28/07/00,3689.69,3716.95,3452.95,3477.31,17694100
ABC003500379,31/07/00,3477.53,3610.95,3437.59,3609.35,15125800
ABC003500379,01/08/00,3609.35,3609.35,3518.61,3521.15,13414600
ABC003500379,02/08/00,3521.15,3617.25,3486.46,3490.34,14768200
ABC003500379,03/08/00,3490.34,3625.64,3341.83,3623.50,18288600
ABC003500379,04/08/00,3624.17,3715.57,3577.13,3618.63,14388500
ABC003500379,07/08/00,3618.63,3726.90,3618.63,3710.39,13196800
ABC003500379,08/08/00,3708.95,3741.51,3671.75,3686.37,14615900
ABC003500379,09/08/00,3708.63,3780.43,3691.70,3693.04,15176500
ABC003500379,10/08/00,3687.69,3690.61,3594.80,3595.19,13496700
ABC003500379,11/08/00,3595.15,3645.77,3521.53,3644.61,13332600
ABC003500379,14/08/00,3644.63,3720.81,3616.71,3719.61,12320600
ABC003500379,15/08/00,3718.70,3761.56,3691.27,3722.62,13536200
ABC003500379,16/08/00,3722.62,3791.22,3704.51,3721.25,14013800
ABC003500379,17/08/00,3721.25,3839.76,3716.67,3830.59,14403700
ABC003500379,18/08/00,3830.59,3868.74,3799.97,3807.51,14479200
ABC003500379,21/08/00,3809.86,3878.67,3785.20,3827.62,12693300
ABC003500379,22/08/00,3832.10,3898.12,3827.30,3827.89,14131900
ABC003500379,23/08/00,3818.06,3899.96,3760.12,3896.92,14617900
ABC003500379,24/08/00,3897.05,3954.60,3884.57,3949.57,15469500
ABC003500379,25/08/00,3945.50,3986.73,3915.79,3931.25,12858200
ABC003500379,28/08/00,3933.33,3987.71,3928.80,3954.24,13730100
ABC003500379,29/08/00,3955.54,3970.92,3923.42,3951.94,14894700
ABC003500379,30/08/00,3951.67,3984.19,3921.49,3968.73,15370200
ABC003500379,31/08/00,3971.32,4080.48,3971.32,4077.59,19031500
ABC003500379,01/09/00,4084.11,4147.19,4057.44,4099.30,14729400
ABC003500379,05/09/00,4085.89,4085.89,3986.28,3987.03,16681200
ABC003500379,06/09/00,3978.23,3983.74,3837.33,3837.62,17571900
ABC003500379,07/09/00,3847.79,3963.94,3847.79,3953.36,16346100
ABC003500379,08/09/00,3949.15,3949.15,3811.60,3813.44,15085500
ABC003500379,11/09/00,3813.44,3852.45,3690.47,3706.74,14836700
ABC003500379,12/09/00,3706.74,3792.38,3645.28,3666.87,15966400
ABC003500379,13/09/00,3666.87,3752.45,3610.65,3741.75,16565500
ABC003500379,14/09/00,3741.75,3834.51,3715.65,3737.42,16994800
ABC003500379,15/09/00,3731.73,3748.76,3640.58,3676.33,17775400
ABC003500379,18/09/00,3676.33,3723.67,3548.59,3585.52,16139700
ABC003500379,19/09/00,3588.37,3756.87,3588.37,3756.40,17074000
ABC003500379,20/09/00,3756.40,3810.30,3660.31,3790.45,18020400
ABC003500379,21/09/00,3790.45,3790.45,3691.93,3718.15,16160100
ABC003500379,22/09/00,3718.15,3718.15,3505.18,3701.18,21643400
ABC003500379,25/09/00,3753.31,3774.78,3611.09,3622.10,17746800
ABC003500379,26/09/00,3643.65,3696.99,3566.71,3582.59,18259000
ABC003500379,27/09/00,3631.08,3648.94,3533.67,3571.90,19482000
ABC003500379,28/09/00,3556.99,3725.75,3556.34,3725.15,20014500
ABC003500379,29/09/00,3684.87,3690.24,3557.54,3570.61,20180500
ABC003500379,02/10/00,3613.74,3613.86,3447.71,3457.97,17992200
ABC003500379,03/10/00,3528.00,3544.54,3351.61,3353.34,19588400
ABC003500379,04/10/00,3337.91,3476.52,3291.61,3453.36,21293300
ABC003500379,05/10/00,3421.46,3492.28,3392.00,3424.32,18729600
ABC003500379,06/10/00,3432.82,3468.28,3262.80,3311.94,18706900
ABC003500379,09/10/00,3306.75,3359.93,3185.28,3318.90,14377700
ABC003500379,10/10/00,3271.69,3336.61,3175.38,3188.29,18744300
ABC003500379,11/10/00,3077.51,3220.52,3047.17,3100.53,23404500
ABC003500379,12/10/00,3175.75,3183.96,3000.43,3004.45,21286600
ABC003500379,13/10/00,2990.99,3278.77,2990.99,3277.77,20707500
ABC003500379,16/10/00,3265.96,3296.95,3203.13,3249.46,17886000
ABC003500379,17/10/00,3313.81,3326.13,3127.63,3172.19,19367900
ABC003500379,18/10/00,3045.70,3245.58,2982.04,3139.31,25199200
ABC003500379,19/10/00,3316.63,3404.33,3271.20,3402.95,23434700
ABC003500379,20/10/00,3379.73,3514.96,3378.95,3456.61,21714900
ABC003500379,23/10/00,3451.40,3498.04,3378.34,3422.00,16901100
ABC003500379,24/10/00,3455.37,3481.31,3326.12,3353.26,18808600
ABC003500379,25/10/00,3245.69,3283.20,3086.61,3107.61,21709300
ABC003500379,26/10/00,3127.44,3185.91,2956.20,3167.14,22924900
ABC003500379,27/10/00,3232.81,3275.22,3109.06,3175.25,19633900
ABC003500379,30/10/00,3128.94,3195.45,3038.41,3081.07,17414400
ABC003500379,31/10/00,3120.21,3304.62,3120.21,3282.30,21464200
ABC003500379,01/11/00,3214.40,3311.00,3176.87,3225.27,20243800
ABC003500379,02/11/00,3292.13,3326.37,3259.07,3308.48,22269200
ABC003500379,03/11/00,3329.26,3359.99,3275.07,3321.91,18462000
ABC003500379,06/11/00,3346.15,3369.47,3285.77,3290.47,16085200
ABC003500379,07/11/00,3262.58,3304.38,3217.45,3279.57,17001200
ABC003500379,08/11/00,3295.77,3296.30,3058.66,3059.09,16780000
ABC003500379,09/11/00,2993.02,3081.62,2923.10,3057.06,19427700
ABC003500379,10/11/00,2974.43,3011.58,2890.02,2890.26,17799300
ABC003500379,13/11/00,2798.95,2969.62,2742.47,2836.62,20483300
ABC003500379,14/11/00,2952.62,3043.66,2926.66,3039.50,17853100
ABC003500379,15/11/00,3027.61,3128.37,3001.83,3076.70,17059400
ABC003500379,16/11/00,3016.80,3082.42,2925.08,2925.16,15237100
ABC003500379,17/11/00,2934.51,3000.92,2850.15,2934.81,17608500
ABC003500379,20/11/00,2838.29,2885.31,2779.78,2792.41,17162900
ABC003500379,21/11/00,2807.42,2844.55,2745.70,2786.53,17493800
ABC003500379,22/11/00,2738.29,2806.33,2667.11,2668.25,18851300
ABC003500379,24/11/00,2745.39,2830.76,2740.06,2830.09,7816000
ABC003500379,27/11/00,2910.57,2913.76,2759.98,2769.32,17065700
ABC003500379,28/11/00,2763.86,2795.15,2619.50,2621.11,19199700
ABC003500379,29/11/00,2635.05,2670.53,2520.14,2602.85,20557200
ABC003500379,30/11/00,2470.66,2573.11,2426.41,2506.54,27362700
ABC003500379,01/12/00,2566.68,2674.42,2499.39,2549.74,22219700
ABC003500379,04/12/00,2572.88,2614.85,2475.63,2554.40,18604800
ABC003500379,05/12/00,2648.54,2852.91,2633.57,2852.87,24746700
ABC003500379,06/12/00,2833.52,2891.50,2721.81,2743.70,23082800
ABC003500379,07/12/00,2688.61,2761.78,2648.94,2719.91,17568100
ABC003500379,08/12/00,2840.20,2914.97,2803.03,2895.39,23286500
ABC003500379,11/12/00,2900.28,2990.83,2848.86,2972.91,24477600
ABC003500379,12/12/00,2942.20,2958.29,2862.17,2863.21,19190300
ABC003500379,13/12/00,2940.18,2941.34,2741.40,2748.88,20422500
ABC003500379,14/12/00,2744.26,2788.81,2638.11,2639.26,17706400
ABC003500379,15/12/00,2590.84,2624.56,2511.35,2543.09,27706900
ABC003500379,18/12/00,2604.08,2639.00,2511.06,2543.09,20659900
ABC003500379,19/12/00,2538.86,2635.22,2397.87,2399.63,23172000
ABC003500379,20/12/00,2288.28,2337.99,2199.20,2210.32,28551500
ABC003500379,21/12/00,2191.82,2347.28,2174.76,2224.84,26869700
ABC003500379,22/12/00,2303.21,2437.19,2303.21,2436.26,22354100
ABC003500379,26/12/00,2435.51,2477.10,2332.35,2404.60,15587000
ABC003500379,27/12/00,2383.42,2468.75,2362.59,2460.21,20026500
ABC003500379,28/12/00,2435.84,2505.65,2420.34,2464.62,21921300
ABC003500379,29/12/00,2465.37,2491.25,2328.86,2341.70,25317600
ABC003500379,02/01/01,2341.28,2347.70,2105.49,2128.78,19189300
ABC003500379,03/01/01,2087.32,2530.53,2087.32,2528.38,31880000
ABC003500379,04/01/01,2485.52,2547.04,2432.04,2460.04,26106800
ABC003500379,05/01/01,2460.81,2463.48,2252.36,2267.85,21046700
